doc_id,fy,period,fund,fund_name,funds_covered,account_type,level,dept,org,object,name,original,transfers,revised,expended,encumbered,available,pct_used,totals_only,suppress_zero,rounded_columns
sources/q3-fy26/ef-sewer-revenue-fy26-q3.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,revenue,account,,60004,480500,INS SETTLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/ef-sewer-revenue-fy26-q3.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,revenue,account,,60004,490400,OP TRAN TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/ef-sewer-revenue-fy26-q3.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,revenue,account,,60004,499900,FBCYBUDGET,-307421.0,0.0,-307421.0,0.0,0.0,-307421.16,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/ef-solid-waste-expenditures-fy26-q3.txt,2026,9,7900,SOLID WASTE/RECYCLING ENTERPRI,7900 SOLID WASTE/RECYCLING ENTERPRI,revenue,department,433,,,RECYCLING PROGRAM,-500000.0,0.0,-500000.0,-414378.74,0.0,-85621.26,82.9,1,1,"original,transfers,revised"
sources/q3-fy26/ef-solid-waste-revenue-fy26-q3.txt,2026,9,7900,SOLID WASTE/RECYCLING ENTERPRI,7900 SOLID WASTE/RECYCLING ENTERPRI,revenue,department,433,,,RECYCLING PROGRAM,-500000.0,0.0,-500000.0,-414378.74,0.0,-85621.26,82.9,1,1,"original,transfers,revised"
sources/q3-fy26/ef-water-expenditures-fy26-q3.txt,2026,9,6100,WATER ENTERPRISE FUND,6100 WATER ENTERPRISE FUND,expense,department,411,,,HIGHWAY CONSTRUCTION & MAINTE,45000.0,0.0,45000.0,8542.37,0.0,36457.63,19.0,1,1,"original,transfers,revised"
sources/q3-fy26/ef-water-revenue-fy26-q3.txt,2026,9,6100,WATER ENTERPRISE FUND,6100 WATER ENTERPRISE FUND,revenue,department,411,,,HIGHWAY CONSTRUCTION & MAINTE,-45000.0,0.0,-45000.0,-46851.59,0.0,1851.59,104.1,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,122,,,SELECT BOARD,180280.0,4778.0,185059.0,117630.98,613.36,66814.33,63.9,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,126,,,TOWN MANAGER,305325.0,0.0,305325.0,202818.36,37510.48,64996.16,78.7,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,131,,,FINANCE COMMITTEE,1800.0,0.0,1800.0,261.0,0.0,1539.0,14.5,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,132,,,RESERVE FUND,185000.0,0.0,185000.0,0.0,0.0,185000.0,0.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,133,,,SALARY RESERVE,210000.0,-128954.0,81046.0,0.0,0.0,81046.33,0.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,135,,,TOWN ACCOUNTANT,323244.0,172724.0,495969.0,311705.43,6763.6,177499.53,64.2,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,136,,,ANNUAL AUDIT,0.0,12600.0,12600.0,12600.0,0.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,141,,,ASSESSOR'S ADMINISTRATION,297308.0,29947.0,327256.0,204701.28,4310.0,118244.34,63.9,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,145,,,TREASURER'S ADMINISTRATION,118966.0,1809.0,120775.0,81501.46,276.97,38997.0,67.7,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,146,,,TAX COLLECTOR'S ADMINISTRATION,130718.0,3888.0,134606.0,78936.13,4006.09,51663.29,61.6,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,155,,,INFORMATION TECHNOLOGY DEPT,491311.0,22976.0,514288.0,376887.75,68419.65,68980.16,86.6,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,158,,,TAX TITLE REDEMP/FORECLOSURE,30500.0,4461.0,34961.0,4870.0,4800.87,25290.0,27.7,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,161,,,TOWN CLERK'S ADMINISTRATION,143602.0,900.0,144502.0,100644.18,2374.3,41483.6,71.3,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,162,,,ELECTIONS,11100.0,0.0,11100.0,2280.0,0.0,8820.0,20.5,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,163,,,REGISTRATION & CENSUS,20950.0,0.0,20950.0,7547.5,0.0,13402.5,36.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,170,,,LAND USE,440157.0,6512.0,446669.0,205320.45,1805.65,239542.96,46.4,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,175,,,PLANNING BOARD,0.0,0.0,0.0,14320.68,0.0,-14320.68,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,178,,,ARCHITECTURAL PRESERVATION DIS,500.0,0.0,500.0,0.0,0.0,500.0,0.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,192,,,PUBLIC BUILDINGS,221357.0,3908.0,225266.0,130946.71,71440.98,22877.84,89.8,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,193,,,FACILITIES & GROUNDS,711606.0,17898.0,729503.0,403714.74,111646.53,214141.95,70.6,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,195,,,TOWN REPORTS,7000.0,0.0,7000.0,5952.53,0.0,1047.47,85.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,199,,,CENTRAL PURCHASING,91500.0,105.0,91605.0,52399.86,6542.56,32663.02,64.3,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,210,,,POLICE DEPARTMENT,2406172.0,71669.0,2477841.0,1686886.24,12585.77,778369.32,68.6,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,213,,,POLICE LOCK UP,20600.0,0.0,20600.0,14262.0,944.39,5393.61,73.8,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,214,,,INJURY LEAVE,4000.0,0.0,4000.0,285.99,0.0,3714.01,7.1,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,220,,,FIRE DEPARTMENT,1717588.0,3498.0,1721086.0,1169012.23,24973.71,527100.36,69.4,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,223,,,FIRE HYDRANT EXPENSE,17000.0,0.0,17000.0,4000.0,13000.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,227,,,MTC OF TOWN RADIOS,10000.0,1001.0,11001.0,9461.09,-2024.63,3564.58,67.6,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,228,,,RADIO WATCH,310764.0,0.0,310764.0,273723.26,0.0,37040.64,88.1,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,241,,,BUILDING INSPECTION,0.0,0.0,0.0,1149.12,0.0,-1149.12,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,244,,,INSPECTOR OF WGHTS & MEASURES,4600.0,5682.0,10282.0,11363.0,0.0,-1081.5,110.5,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,291,,,EMERGENCY MANAGEMENT,7000.0,0.0,7000.0,5666.94,83.07,1250.06,82.1,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,292,,,ANIMAL CONTROL,46125.0,0.0,46125.0,31074.8,485.41,14564.79,68.4,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,294,,,TREE REMOVAL,38500.0,0.0,38500.0,35807.16,66.59,2626.25,93.2,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,300,,,SCHOOL DEPARTMENT,26247474.0,76394.0,26323868.0,15736640.86,1668043.22,8919184.21,66.1,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,301,,,SCHOOL NON-RECURRING EXPENSES,40000.0,-4223.0,35777.0,33926.08,0.0,1851.33,94.8,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,310,,,MONTY TECH ASSESSMENT,1334521.0,0.0,1334521.0,1000890.0,0.0,333631.0,75.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,411,,,HIGHWAY CONSTRUCTION & MAINTE,634850.0,6052.0,640902.0,463392.47,78588.57,98920.79,84.6,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,421,,,HIGHWAY ADMINISTRATION,644443.0,3627.0,648070.0,434944.86,2731.39,210393.4,67.5,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,423,,,SNOW REMOVAL,355571.0,0.0,355571.0,933730.68,124292.8,-702452.09,297.6,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,425,,,TRAFFIC SIGNS & DEVICES,28500.0,-15000.0,13500.0,9970.33,1199.67,2330.0,82.7,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,429,,,VEHICLE MAINTENANCE,179750.0,15000.0,194750.0,90093.57,26814.54,77841.89,60.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,433,,,RECYCLING PROGRAM,470000.0,0.0,470000.0,233483.98,235140.22,1375.8,99.7,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,491,,,CEMETERY DEPARTMENT,125339.0,0.0,125339.0,78164.04,3353.41,43821.44,65.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,512,,,GENERAL HEALTH EXPENSE,56631.0,0.0,56631.0,38966.43,0.0,17664.13,68.8,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,521,,,NASHOBA HEALTH,47815.0,0.0,47815.0,47815.36,0.0,0.01,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,522,,,NASHOBA NURSING,21915.0,0.0,21915.0,21915.37,0.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,524,,,POLICE/FIRE MEDICAL,4000.0,0.0,4000.0,4000.0,0.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,525,,,PHYSICALS,3500.0,0.0,3500.0,416.0,234.0,2850.0,18.6,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,541,,,COUNCIL ON AGING,261182.0,6124.0,267307.0,143404.94,3248.33,120653.51,54.9,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,543,,,VETERAN'S SERVICES,90699.0,0.0,90699.0,59756.32,0.0,30942.68,65.9,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,610,,,LUNENBURG PUBLIC LIBRARY,632037.0,6915.0,638952.0,408007.05,69387.96,161556.78,74.7,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,650,,,PARKS & RECREATION,134434.0,6326.0,140759.0,66956.3,42191.41,31611.72,77.5,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,691,,,HISTORICAL COMMISSION,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,693,,,BAND CONCERTS,6000.0,0.0,6000.0,6000.0,0.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,710,,,PRINCIPAL SERIAL LOANS,1506369.0,0.0,1506369.0,971369.41,0.0,535000.0,64.5,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,751,,,INTEREST SERIAL LOANS,1039840.0,0.0,1039840.0,828652.98,0.0,211187.5,79.7,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,754,,,LOAN ADMINISTRATIVE FEES,1230.0,0.0,1230.0,1230.47,0.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,820,,,WRRS ASSESSMENT,2392572.0,0.0,2392572.0,2392572.0,0.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,825,,,STATE ASSESSMENTS,1028529.0,0.0,1028529.0,765004.0,0.0,263525.0,74.4,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,841,,,MONTACHUSETT PLANNING COMM,4478.0,0.0,4478.0,4477.98,0.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,912,,,WORKERS COMPENSATION,145000.0,0.0,145000.0,123489.0,0.0,21511.0,85.2,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,913,,,UNEMPLOYMENT COMPENSATION,10000.0,0.0,10000.0,0.0,0.0,10000.0,0.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,914,,,INSURANCE,3713520.0,0.0,3713520.0,2240086.02,0.0,1473434.3,60.3,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,945,,,LIABILITY INSURANCE,239189.0,0.0,239189.0,232309.11,265.0,6614.7,97.2,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,993,,,TRANSFER TO CAPITAL PROJECT FD,1052500.0,4617.0,1057117.0,1057117.32,0.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-expenditures-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,expense,department,996,,,TRANSFER TO TRUST FUNDS,232500.0,0.0,232500.0,232500.0,0.0,0.0,100.0,1,1,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,411000,PP TAXES,-1052138.0,0.0,-1052138.0,-920485.86,0.0,-131652.52,87.5,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,411027,PP FY27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,412000,RE TAXES,-34029858.0,0.0,-34029858.0,-25348675.48,0.0,-8681182.16,74.5,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,412027,RE FY27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,414100,CANNAB EX,-25000.0,0.0,-25000.0,-89575.81,0.0,64575.81,358.3,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,414200,TAX LIENS,0.0,0.0,0.0,-57817.17,0.0,57817.17,100.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,414300,PRO FORMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,414500,DEF PROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,414600,ROLL BACK,0.0,0.0,0.0,-4891.29,0.0,4891.29,100.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,414700,SUPPLE TAX,-30000.0,0.0,-30000.0,0.0,0.0,-30000.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,415000,MVE,-1875000.0,0.0,-1875000.0,-1995509.51,0.0,120509.51,106.4,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,415027,MV 2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,416000,FARM ANIMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,416100,FOREST LND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,417100,INT PP,-3000.0,0.0,-3000.0,-3762.21,0.0,762.21,125.4,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,417200,INT RE,-71000.0,0.0,-71000.0,-58996.89,0.0,-12003.11,83.1,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,417300,INT MVE,-23000.0,0.0,-23000.0,-20875.18,0.0,-2124.82,90.8,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,417400,DEMAND MVE,-25000.0,0.0,-25000.0,-23610.0,0.0,-1390.0,94.4,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,417500,DEMANDS RE,-3000.0,0.0,-3000.0,-1255.0,0.0,-1745.0,41.8,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,417600,DEMANDS PP,0.0,0.0,0.0,-125.0,0.0,125.0,100.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,417700,INT PRO FO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,417800,PEN/INT LI,-15000.0,0.0,-15000.0,-13044.45,0.0,-1955.55,87.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,417900,INT FARM A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,418000,PILOT,-1600.0,0.0,-1600.0,0.0,0.0,-1600.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,430100,POL REP FE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,430200,FIRE R FEE,-50.0,0.0,-50.0,-30.0,0.0,-20.0,60.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,430300,FSH G FEES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,430400,SD ADM FEE,-35000.0,0.0,-35000.0,-20611.16,0.0,-14388.84,58.9,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,430500,MLC,-9000.0,0.0,-9000.0,-5925.0,0.0,-3075.0,65.8,0,0,"original,transfers,revised"
sources/q3-fy26/town-general-fund-revenue-fy26-q3.txt,2026,9,0100,GENERAL FUND,0100 GENERAL FUND,revenue,account,,01001,430600,CERT VTALS,-7000.0,0.0,-7000.0,-5300.0,0.0,-1700.0,75.7,0,0,"original,transfers,revised"
